id,firstname,surname,born,died,bornCountry,bornCountryCode,bornCity,diedCountry,diedCountryCode,diedCity,gender,year,category,overallMotivation,share,motivation,name,city,country
273,Sidney,Altman,5/7/1939,0000-00-00,Canada,CA,Montreal,,,,male,1989,chemistry,,2,"""for their discovery of catalytic properties of RNA""",Yale University,"New Haven, CT",USA
111,Arno Allan,Penzias,4/26/1933,0000-00-00,Germany,DE,Munich,,,,male,1978,physics,,4,"""for their discovery of cosmic microwave background radiation""",Bell Laboratories,"Holmdel, NJ",USA
112,Robert Woodrow,Wilson,1/10/1936,0000-00-00,USA,US,"Houston, TX",,,,male,1978,physics,,4,"""for their discovery of cosmic microwave background radiation""",Bell Laboratories,"Holmdel, NJ",USA
284,Robert F.,Curl Jr.,8/23/1933,0000-00-00,USA,US,"Alice, TX",,,,male,1996,chemistry,,3,"""for their discovery of fullerenes""",Rice University,"Houston, TX",USA
286,Richard E.,Smalley,6/6/1943,10/28/2005,USA,US,"Akron, OH",USA,US,"Houston, TX",male,1996,chemistry,,3,"""for their discovery of fullerenes""",Rice University,"Houston, TX",USA
450,Alfred G.,Gilman,7/1/1941,12/23/2015,USA,US,"New Haven, CT",USA,US,"Dallas, TX",male,1994,medicine,,2,"""for their discovery of G-proteins and the role of these proteins in signal transduction in cells""",University of Texas Southwestern Medical Center at Dallas,"Dallas, TX",USA
451,Martin,Rodbell,12/1/1925,12/7/1998,USA,US,"Baltimore, MD",USA,US,"Chapel Hill, NC",male,1994,medicine,,2,"""for their discovery of G-proteins and the role of these proteins in signal transduction in cells""",National Institute of Environmental Health Sciences,"Research Triangle Park, NC",USA
802,Andrew Z.,Fire,4/27/1959,0000-00-00,USA,US,"Stanford, CA",,,,male,2006,medicine,,2,"""for their discovery of RNA interference - gene silencing by double-stranded RNA""",Stanford University School of Medicine,"Stanford, CA",USA
803,Craig C.,Mello,10/19/1960,0000-00-00,USA,US,"New Haven, CT",,,,male,2006,medicine,,2,"""for their discovery of RNA interference - gene silencing by double-stranded RNA""",University of Massachusetts Medical School,"Worcester, MA",USA
149,David M.,Lee,1/20/1931,0000-00-00,USA,US,"Rye, NY",,,,male,1996,physics,,3,"""for their discovery of superfluidity in helium-3""",Cornell University,"Ithaca, NY",USA
